id,city,date,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,Home_Win,loser,Home_Loss,Neutral,result,result_margin,target_runs,target_overs,method,toss_match_win
335982,Bangalore,2008-04-18,BB McCullum,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,False,Royal Challengers Bangalore,True,,runs,140.0,223.0,20.0,,False
335983,Chandigarh,2008-04-19,MEK Hussey,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,False,Punjab Kings,True,,runs,33.0,241.0,20.0,,True
335984,Delhi,2008-04-19,MF Maharoof,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,True,Rajasthan Royals,False,,wickets,9.0,130.0,20.0,,False
335985,Mumbai,2008-04-20,MV Boucher,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,False,Mumbai Indians,True,,wickets,5.0,166.0,20.0,,False
335986,Kolkata,2008-04-20,DJ Hussey,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,True,Sunrisers Hyderabad,False,,wickets,5.0,111.0,20.0,,False
335987,Jaipur,2008-04-21,SR Watson,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,True,Punjab Kings,False,,wickets,6.0,167.0,20.0,,False
335988,Hyderabad,2008-04-22,V Sehwag,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,False,Sunrisers Hyderabad,True,,wickets,9.0,143.0,20.0,,False
335989,Chennai,2008-04-23,ML Hayden,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,True,Mumbai Indians,False,,runs,6.0,209.0,20.0,,False
335990,Hyderabad,2008-04-24,YK Pathan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,False,Sunrisers Hyderabad,True,,wickets,3.0,215.0,20.0,,True
335991,Chandigarh,2008-04-25,KC Sangakkara,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,True,Mumbai Indians,False,,runs,66.0,183.0,20.0,,False
