id,player_of_match,venue,team1,team2,toss_winner,winner,result,target_runs,target_overs,Home_Win,loser,Home_Loss,Neutral,toss_match_win
335982,BB McCullum,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,runs,223.0,20.0,False,Royal Challengers Bangalore,True,False,False
335983,MEK Hussey,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,runs,241.0,20.0,False,Punjab Kings,True,False,True
335984,MF Maharoof,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,wickets,130.0,20.0,True,Rajasthan Royals,False,False,False
335985,MV Boucher,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,wickets,166.0,20.0,False,Mumbai Indians,True,False,False
335986,DJ Hussey,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,111.0,20.0,True,Sunrisers Hyderabad,False,False,False
335987,SR Watson,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Punjab Kings,Punjab Kings,Rajasthan Royals,wickets,167.0,20.0,True,Punjab Kings,False,False,False
335988,V Sehwag,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,wickets,143.0,20.0,False,Sunrisers Hyderabad,True,False,False
335989,ML Hayden,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,runs,209.0,20.0,True,Mumbai Indians,False,False,False
335990,YK Pathan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,wickets,215.0,20.0,False,Sunrisers Hyderabad,True,False,True
335991,KC Sangakkara,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Mumbai Indians,Mumbai Indians,Punjab Kings,runs,183.0,20.0,True,Mumbai Indians,False,False,False
335992,SR Watson,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,wickets,136.0,20.0,False,Royal Challengers Bangalore,True,False,True
335993,JDP Oram,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,wickets,148.0,20.0,True,Kolkata Knight Riders,False,False,False
335994,AC Gilchrist,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,155.0,20.0,False,Mumbai Indians,False,True,True
335995,SM Katich,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Delhi Capitals,Delhi Capitals,Punjab Kings,wickets,159.0,20.0,True,Delhi Capitals,False,False,False
335996,MS Dhoni,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,runs,179.0,20.0,False,Royal Challengers Bangalore,True,False,True
335997,ST Jayasuriya,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,138.0,20.0,False,Kolkata Knight Riders,True,False,False
335998,GD McGrath,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,runs,192.0,20.0,True,Royal Challengers Bangalore,False,False,False
335999,SE Marsh,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Punjab Kings,wickets,165.0,20.0,False,Sunrisers Hyderabad,True,False,True
336000,SA Asnodkar,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,runs,197.0,20.0,True,Kolkata Knight Riders,False,False,True
336001,V Sehwag,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Delhi Capitals,wickets,170.0,20.0,False,Chennai Super Kings,True,False,False
336003,IK Pathan,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Kolkata Knight Riders,Punjab Kings,Punjab Kings,runs,179.0,20.0,True,Kolkata Knight Riders,False,False,True
336034,P Kumar,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,runs,157.0,20.0,True,Sunrisers Hyderabad,False,False,False
336004,SM Pollock,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,runs,163.0,20.0,False,Delhi Capitals,False,True,False
336005,Sohail Tanvir,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,wickets,110.0,20.0,True,Chennai Super Kings,False,False,False
336006,S Sreesanth,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Punjab Kings,wickets,127.0,20.0,False,Royal Challengers Bangalore,True,False,True
336007,AC Gilchrist,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,145.0,20.0,False,Chennai Super Kings,True,False,True
336008,A Nehra,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,wickets,104.0,20.0,False,Rajasthan Royals,False,True,True
336009,MS Dhoni,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,wickets,188.0,20.0,False,Delhi Capitals,True,False,True
336010,SC Ganguly,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,runs,130.0,16.0,True,Royal Challengers Bangalore,False,False,True
