player,matches_played,total_runs,balls_faced,total_4s,total_6s,extras_given,runs_given,wickets_taken,overs_bowled,player_code
SC Ganguly,38.0,1031.0,977.0,104.0,36.0,8.0,273.0,9.0,36.5,1
BB McCullum,90.0,2256.0,1777.0,230.0,103.0,0.0,0.0,0.0,0.0,2
RT Ponting,8.0,77.0,112.0,3.0,2.0,0.0,0.0,0.0,0.0,3
DJ Hussey,57.0,1271.0,1051.0,87.0,58.0,18.0,485.0,10.0,53.833333333333336,4
Mohammad Hafeez,8.0,64.0,84.0,7.0,2.0,10.0,71.0,2.0,10.5,5
R Dravid,75.0,1964.0,1731.0,239.0,26.0,0.0,0.0,0.0,0.0,6
W Jaffer,8.0,130.0,129.0,14.0,3.0,0.0,0.0,0.0,0.0,7
V Kohli,233.0,7565.0,5888.0,670.0,257.0,17.0,357.0,4.0,42.0,8
JH Kallis,89.0,2359.0,2205.0,249.0,44.0,122.0,2218.0,68.0,284.1666666666667,9
CL White,40.0,778.0,630.0,64.0,28.0,5.0,84.0,1.0,6.666666666666667,10
MV Boucher,22.0,389.0,314.0,32.0,13.0,0.0,0.0,0.0,0.0,11
B Akhil,10.0,63.0,48.0,5.0,4.0,9.0,224.0,7.0,30.0,12
AA Noffke,1.0,9.0,12.0,1.0,0.0,6.0,41.0,1.0,4.166666666666667,13
P Kumar,54.0,333.0,310.0,22.0,17.0,217.0,3079.0,94.0,404.3333333333333,14
Z Khan,27.0,117.0,141.0,11.0,2.0,157.0,2648.0,108.0,348.3333333333333,15
SB Joshi,2.0,6.0,16.0,0.0,0.0,0.0,82.0,1.0,9.166666666666666,16
PA Patel,114.0,2462.0,2099.0,317.0,43.0,0.0,0.0,0.0,0.0,17
ML Hayden,32.0,1107.0,839.0,121.0,44.0,0.0,0.0,0.0,0.0,18
MEK Hussey,53.0,1862.0,1524.0,186.0,51.0,0.0,0.0,0.0,0.0,19
MS Dhoni,194.0,4511.0,3357.0,318.0,216.0,0.0,0.0,0.0,0.0,20
SK Raina,188.0,5239.0,3929.0,484.0,197.0,40.0,1054.0,30.0,140.66666666666666,21
JDP Oram,10.0,106.0,107.0,6.0,5.0,19.0,329.0,12.0,38.666666666666664,22
S Badrinath,58.0,1210.0,1059.0,133.0,24.0,0.0,0.0,0.0,0.0,23
